codigo,clase,propiedad,superficie,instalado,numero_suc,elemento,localidad,provincia,coca,ipid,central,miga,estado,cedido_por,tipo,long x,latit y,id,valor,f_valor,icon_url
"5613808",D SEVCN021,tesa,ocupacion,2013/07/01,627SUCW06952011071900,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"2830","3",2021/01/01,./0.png
CR114,gABP,tesa,ocupacion,2001/01/01,,arqueta,Algeciras,Cadiz,,"7840437",,,4,,,,,"321",,,./0.png
,A1,adamo,tierra,,,arqueta,Sevilla,Sevilla,,,,,3,,,,,"367","3",2021/01/01,./0.png
CR 296,GEN,tesa,ocupacion,2018/01/17,627SUCW88762017082200,arqueta,Sevilla,Sevilla,,,,,3,,,,,"369","3",2021/01/01,./0.png
CR 295,GEN,tesa,ocupacion,2018/01/17,627SUCW88762017082200,arqueta,Sevilla,Sevilla,,,,,3,,,,,"370","3",2021/01/01,./0.png
SEMAF015,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2121","5",2021/01/01,./0.png
SEMAF014,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2122","5",2021/01/01,./0.png
SEMAF003,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2123","5",2021/01/01,./0.png
SEMAF013,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2124","5",2021/01/01,./0.png
SEMAF012,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2125","5",2021/01/01,./0.png
SEMAF002,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2126","5",2021/01/01,./0.png
SEMAF011,A60,gtd,ocupacion,2011/10/01,N/A,arqueta,Mairena del Aljarafe,Sevilla,,,,,1,,,,,"2127","5",2021/01/01,./0.png
CR24,ABP SEVCN022,tesa,ocupacion,2013/07/01,627SUCW06952011071900,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"2829","3",2021/01/01,./0.png
SECTG001,A120,ayuntamiento,ocupacion,2013/07/01,N/A,arqueta,Castilleja de Guzmán,Sevilla,,,,,3,,,,,"2870","3",2021/01/01,./0.png
"5614168",D SEVCN015,tesa,ocupacion,2013/07/01,627SUCW06952011071900,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"2873","3",2021/01/01,./0.png
B1,,telvent,ocupacion,,,arqueta,Sevilla,Sevilla,,,,,3,,,,,"2875","3",2021/01/01,./0.png
"5614165",D SEVCN016,tesa,ocupacion,2013/07/01,627SUCW06952011071900,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"2877","3",2021/01/01,./0.png
CR 1750,gABP,tesa,ocupacion,2018/01/17,627SUCW88802017082200,arqueta,Sevilla,Sevilla,,,,,3,,,,,"371","3",2021/01/01,./0.png
CR4,GEN,tesa,ocupacion,2017/10/05,627SUCW38732017031400,arqueta,Barbate,Cadiz,"25","8017367",Barbate,1162001,3,,,,,"325",,,./0.png
CR115,gABP,tesa,ocupacion,2001/01/01,,arqueta,Algeciras,Cadiz,,"7840438",,,4,,,,,"339",,,./0.png
CR323,gABP,tesa,ocupacion,2001/01/01,,arqueta,Algeciras,Cadiz,,"7840535",,,4,,,,,"340",,,./0.png
,A70,,,,,,,,,,,,4,,,,,"341",,,./0.png
CR90,gABP,tesa,ocupacion,2001/01/01,,arqueta,Algeciras,Cadiz,,"7840540",,,4,,,,,"351",,,./0.png
CR4,GEN,tesa,ocupacion,,627SUCW89272018011800,arqueta,San Sebastian,Guipuzcoa,,,s.s. amara,2010002,4,,,,,"356",,,./0.png
CR350,GEN,tesa,ocupacion,,627SUCW89332018011800,arqueta,San Sebastian,Guipuzcoa,,,s.s. san marcial,2010001,4,,,,,"357",,,./0.png
GTDCAD001,,gtd,,,,,,,,,,,4,,A2,,,"368",,,./0.png
CR 1795,gJP,tesa,ocupacion,2018/01/17,627SUCW88832017082200,arqueta,Sevilla,Sevilla,,,,,3,,,,,"372","1",2021/01/01,./0.png
CR 2199,gTP,tesa,ocupacion,2018/01/17,627SUCW88832017082200,arqueta,Sevilla,Sevilla,,,,,3,,,,,"373","1",2021/01/01,./0.png
GTDCAD035,,gtd,,,,,,,,,,,4,,A1,,,"385",,,./0.png
CR12,gBRF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"388",,,./0.png
POSTE 89,8C,tesa,ocupacion,,,poste,Zamudio,Vizcaya,,,,,4,,,,,"389",,,./0.png
CR 4296,gBR,tesa,,2001/01/01,627SUCW36522016060800,arqueta,Barcelona,Barcelona,,"4162959",CT BONANOVA,810007,3,,,,,"417","5",2021/01/01,./0.png
SESEV229,A-2,gtd,,2017/11/09,,arqueta,Sevilla,Sevilla,,,,,1,,,,,"419","3",2021/01/01,./0.png
SESEV230,A-1,gtd,,2017/11/09,,arqueta,Sevilla,Sevilla,,,,,1,,,,,"420","3",2021/01/01,./0.png
SESEV231,A-1,gtd,,2017/11/09,,arqueta,Sevilla,Sevilla,,,,,1,,,,,"421","3",2021/01/01,./0.png
CR 23,GEN,tesa,ocupacion,,,arqueta,sopelana,Vizcaya,,"2586093",,,4,,,,,"392",,,./0.png
ARQ 22A3,D,tesa,ocupacion,,,arqueta,sopelana,Vizcaya,,"2586092",,,4,,,,,"393",,,./0.png
CR 4,GEN,tesa,ocupacion,,,arqueta,sopelana,Vizcaya,,"2585994",,,4,,,,,"394",,,./0.png
CR 5,GEN,tesa,ocupacion,,,arqueta,sopelana,Vizcaya,,"2586009",,,4,,,,,"395",,,./0.png
CR 14,GEN,tesa,ocupacion,,,arqueta,sopelana,Vizcaya,,"2586019",,,4,,,,,"396",,,./0.png
CR 15,GEN,tesa,ocupacion,,,arqueta,sopelana,Vizcaya,,"2586028",,,4,,,,,"397",,,./0.png
CR 32,gABP,tesa,ocupacion,,,arqueta,sopelana,Vizcaya,,"2586035",,,4,,,,,"398",,,./0.png
CR 1309,GEN,tesa,,2001/01/01,627SUCW36522016060800,arqueta,Barcelona,Barcelona,,"4162958",CT BONANOVA,810007,3,,,,,"416","5",2021/01/01,./0.png
CR1229,GEN,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"425",,,./0.png
CR1228,GEN,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"426",,,./0.png
CR1226,gBRF,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"427",,,./0.png
CR1225,gBRF,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"428",,,./0.png
CR1224,gBRF,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"429",,,./0.png
CR1223,gBRF,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"430",,,./0.png
CR1222BIS,gABPF,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"431",,,./0.png
GTDCAD004,,gtd,,,,,,,,,,,4,,A1,,,"453",,,./0.png
CR1211,gBRF,tesa,ocupacion,,,arqueta,Bilbao,Vizcaya,,,,,4,,,,,"454",,,./0.png
CR1210,gBRF,tesa,ocupacion,,,arqueta,Bilbao,Vizcaya,,,,,4,,,,,"455",,,./0.png
CR1209,gJR,tesa,ocupacion,,,arqueta,Bilbao,Vizcaya,,,,,4,,,,,"456",,,./0.png
CR1208,gBRF,tesa,ocupacion,,,arqueta,Bilbao,Vizcaya,,,,,4,,,,,"457",,,./0.png
CR1207,gBRF,tesa,ocupacion,,,arqueta,Bilbao,Vizcaya,,,,,4,,,,,"458",,,./0.png
CR1206,gBRF,tesa,ocupacion,,,arqueta,Bilbao,Vizcaya,,,,,4,,,,,"459",,,./0.png
CR1205,gTP,tesa,ocupacion,,,arqueta,Bilbao,Vizcaya,,,,,4,,,,,"460",,,./0.png
CR1217,gBRF,tesa,ocupacion,,,arqueta,Erandio,Vizcaya,,,,,4,,,,,"461",,,./0.png
POSTE 928,PH,tesa,aereo,2016/02/12,627SUCW69362015102800,poste,Palomares del Rio,Sevilla,,,,,3,,,,,"575","5",2021/01/01,./0.png
POSTE 197,PH,tesa,aereo,2016/02/12,627SUCW69362015102800,poste,Palomares del Rio,Sevilla,,,,,3,,,,,"576","5",2021/01/01,./0.png
ARQ 2724798,D,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"526",,,./0.png
ARQ 2655,D,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"527",,,./0.png
ARQ 2663,HF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"528",,,./0.png
ARQ 2665,HF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"529",,,./0.png
ARQ 2627,DF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"530",,,./0.png
"6098531",D,tesa,ocupacion,2019/01/01,627SUCW47492018021400,arqueta,Manilva,Malaga,,,,,3,,,,,"531",,,./0.png
BABAR001001,A120,gtd,,2017/06/01,,arqueta,Barcelona,Barcelona,,,,,1,,,,,"535","5",2021/01/01,./0.png
ARQ 2667,DF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"559",,,./0.png
ARQ 2632,HF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"560",,,./0.png
ARQ 2633,HF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"561",,,./0.png
ARQ 2634,DF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"562",,,./0.png
POSTE 460,8D,tesa,ocupacion,,,poste,Zamudio,Vizcaya,,,,,4,,,,,"563",,,./0.png
POSTE 98,8C,tesa,ocupacion,,,poste,Zamudio,Vizcaya,,,,,4,,,,,"564",,,./0.png
POSTE 327,8D,tesa,ocupacion,,,poste,Zamudio,Vizcaya,,,,,4,,,,,"565",,,./0.png
CR11,gBR,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"566",,,./0.png
CR10,gBRF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"567",,,./0.png
CR9,gJR,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"568",,,./0.png
CR8,gLR,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"569",,,./0.png
CR7,gBRF,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"570",,,./0.png
CR26BIS,gLR,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"571",,,./0.png
CR26,gABP,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"572",,,./0.png
CR28,gBR,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"573",,,./0.png
CR 265,gABP,tesa,canalizacion,,627SUCW57102019013000,arqueta,Alcobendas,Madrid,,,,,3,,,446122.999855736,4487582.91703553,"7746",,,./0.png
,,tesa,,,,,,,,,,,4,,,,,"10402",,,./0.png
,,tesa,,,,,,,,,,,4,,,,,"10403",,,./0.png
,,tesa,,,,,,,,,,,4,,,,,"10404",,,./0.png
,,tesa,,,,,,,,,,,4,,,,,"10405",,,./0.png
,,tesa,,,,,,,,,,,4,,,,,"10406",,,./0.png
CR6,GEN,tesa,ocupacion,,,arqueta,Elgoibar,Guipuzcoa,,,elgoibar,2064003,4,,,,,"588",,,./0.png
CR55,GEN A,tesa,ocupacion,,,arqueta,Torremolinos,Malaga,,,,,4,,,,,"589",,,./0.png
POSTE70,E,tesa,aereo,2001/01/01,,poste,Tarifa,Cadiz,,"7916192",tarifa/eolo_1,1122005,4,,,,,"590",,,./0.png
POSTE60,D,tesa,aereo,2001/01/01,,poste,Tarifa,Cadiz,,"7916175",tarifa/eolo_1,1122005,4,,,,,"591",,,./0.png
POSTE80,D,tesa,aereo,2001/01/01,,poste,Tarifa,Cadiz,,"7840181",la peña,1122008,4,,,,,"592",,,./0.png
CR14,gJP,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"593",,,./0.png
CR15,gBR,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"594",,,./0.png
CR18,gJP,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"595",,,./0.png
CR29,gBR,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"596",,,./0.png
CR30,gBR,tesa,ocupacion,,,arqueta,Derio,Vizcaya,,,,,4,,,,,"597",,,./0.png
CR31,gLR,tesa,ocupacion,,,arqueta,Derio,Vizcaya,,,,,4,,,,,"598",,,./0.png
CR32,gLR,tesa,ocupacion,,,arqueta,Derio,Vizcaya,,,,,4,,,,,"603",,,./0.png
CR33,gBR,tesa,ocupacion,,,arqueta,Derio,Vizcaya,,,,,4,,,,,"605",,,./0.png
CR25,gTP,tesa,ocupacion,,,arqueta,Zamudio,Vizcaya,,,,,4,,,,,"606",,,./0.png
CR34,gBR,tesa,ocupacion,,,arqueta,Derio,Vizcaya,,,,,4,,,,,"607",,,./0.png
POSTE99,E,tesa,aereo,2001/01/01,,poste,Tarifa,Cadiz,,"7840162",la peña,1122008,4,,,,,"609",,,./0.png
POSTE97,D,tesa,aereo,2001/01/01,,poste,Tarifa,Cadiz,,"7840160",la peña,1122008,4,,,,,"616",,,./0.png
POSTE98,E,tesa,aereo,2001/01/01,,poste,Tarifa,Cadiz,,"7840161",la peña,1122008,4,,,,,"617",,,./0.png
CECEU070,A2,gtd,SI,,,arqueta,Ceuta,Ceuta,,,,,4,,,,,"626",,,./0.png
